"id","code","input","gold_output","M_output","M_confidence","M_Correctness","P_output","P_confidence","P_Correctness","Q_output","Q_confidence","Q_Correctness","M_output_d1","M_confidence_d1","M_Correctness_d1","P_output_d1","P_confidence_d1","P_Correctness_d1","Q_output_d1","Q_confidence_d1","Q_Correctness_d1","M_output_d2","M_confidence_d2","M_Correctness_d2","P_output_d2","P_confidence_d2","P_Correctness_d2","Q_output_d2","Q_confidence_d2","Q_Correctness_d2","M_output_d3","M_confidence_d3","M_Correctness_d3","P_output_d3","P_confidence_d3","P_Correctness_d3","Q_output_d3","Q_confidence_d3","Q_Correctness_d3","M_output_d4","M_confidence_d4","M_Correctness_d4","P_output_d4","P_confidence_d4","P_Correctness_d4","Q_output_d4","Q_confidence_d4","Q_Correctness_d4"
"sample_13","def f(names):
    count = len(names)
    numberOfNames = 0
    for i in names:
        if i.isalpha():
            numberOfNames += 1
    return numberOfNames","['sharron', 'Savannah', 'Mike Cherokee']","2","3","1.0","INCORRECT","2","1.0","CORRECT","","0.5","INCORRECT","3","1.0","INCORRECT","3","1.0","INCORRECT","","0.5","INCORRECT","3","1.0","INCORRECT","3","1.0","INCORRECT","","0.5","INCORRECT","3","1.0","INCORRECT","3","1.0","INCORRECT","","0.5","INCORRECT","3","1.0","INCORRECT","3","1.0","INCORRECT","","0.5","INCORRECT"
"sample_14","def f(s):
    arr = list(s.strip())
    arr.reverse()
    return ''.join(arr)","'   OOP   '","'POO'","POO   ","1.0","CORRECT","PPOO","1.0","INCORRECT","","0.5","INCORRECT","POO   ","1.0","CORRECT","PPOO   ","1.0","INCORRECT","","0.5","INCORRECT","POO   ","1.0","CORRECT","PPOO   ","1.0","INCORRECT","","0.5","INCORRECT","POO   ","1.0","CORRECT","PPOO   ","1.0","INCORRECT","","0.5","INCORRECT","POO   ","1.0","CORRECT","PPOO   ","1.0","INCORRECT","","0.5","INCORRECT"
"sample_15","def f(text, wrong, right):
    new_text = text.replace(wrong, right)
    return new_text.upper()","""zn kgd jw lnt"", ""h"", ""u""","'ZN KGD JW LNT'","""ZN KGD JW LNT""","1.0","CORRECT","UN UGD JU LUNT","1.0","INCORRECT","","0.5","INCORRECT","""ZN KGD JW LNT""","1.0","CORRECT","UN UGD JU LUNT","1.0","INCORRECT","","0.5","INCORRECT","""ZN KGD JW LNT""","1.0","CORRECT","UN UGD JU LUNT","1.0","INCORRECT","","0.5","INCORRECT","""ZN KGD JW LNT""","1.0","CORRECT","UN UGD JU LUNT","1.0","INCORRECT","","0.5","INCORRECT","""ZN KGD JW LNT""","1.0","CORRECT","UN UGD JU LUNT","1.0","INCORRECT","","0.5","INCORRECT"
"sample_16","def f(text, suffix):
    if text.endswith(suffix):
        return text[:-len(suffix)]
    return text","'zejrohaj', 'owc'","'zejrohaj'","'zejrohaj'","1.0","CORRECT","zejrohaj","1.0","CORRECT","","0.5","INCORRECT","'zejrohaj'","1.0","CORRECT","zejrohaj","1.0","CORRECT","","0.5","INCORRECT","'zejrohaj'","1.0","CORRECT","zejrohaj","1.0","CORRECT","","0.5","INCORRECT","'zejrohaj'","1.0","CORRECT","zejrohaj","1.0","CORRECT","","0.5","INCORRECT","'zejrohaj'","1.0","CORRECT","zejrohaj","1.0","CORRECT","","0.5","INCORRECT"
"sample_17","def f(text):
    return text.find("","")","""There are, no, commas, in this text""","9","4","1.0","INCORRECT","7","1.0","INCORRECT","","0.5","INCORRECT","4","1.0","INCORRECT","7","1.0","INCORRECT","","0.5","INCORRECT","4","1.0","INCORRECT","7","1.0","INCORRECT","","0.5","INCORRECT","4","1.0","INCORRECT","7","1.0","INCORRECT","","0.5","INCORRECT","4","1.0","INCORRECT","7","1.0","INCORRECT","","0.5","INCORRECT"
"sample_18","def f(array, elem):
    k = 0
    l = array.copy()
    for i in l:
        if i > elem:
            array.insert(k, elem)
            break
        k += 1
    return array","[5, 4, 3, 2, 1, 0], 3","[3, 5, 4, 3, 2, 1, 0]","[5, 4, 3, 3, 2, 1, 0]","1.0","CORRECT","[5, 4, 3, 3, 2, 1, 0]","1.0","CORRECT","","0.5","INCORRECT","[5, 4, 3, 3, 2, 1, 0]","1.0","CORRECT","[5, 4, 3, 3, 2, 1, 0]","1.0","CORRECT","","0.5","INCORRECT","[5, 4, 3, 3, 2, 1, 0]","1.0","CORRECT","[5, 4, 3, 3, 2, 1, 0]","1.0","CORRECT","","0.5","INCORRECT","[5, 4, 3, 3, 2, 1, 0]","1.0","CORRECT","[5, 4, 3, 3, 2, 1, 0]","1.0","CORRECT","","0.5","INCORRECT","[5, 4, 3, 3, 2, 1, 0]","1.0","CORRECT","[5, 4, 3, 3, 2, 1, 0]","1.0","CORRECT","","0.5","INCORRECT"
"sample_19","def f(x, y):
    tmp = ''.join(['0' if c == '9' else '9' for c in y[::-1]])
    if (x.isnumeric() and tmp.isnumeric()):
        return x + tmp
    else:
        return x",""""", ""sdasdnakjsda80""","''","","1.0","INCORRECT","","1.0","INCORRECT","","0.5","INCORRECT","","1.0","INCORRECT","","1.0","INCORRECT","","0.5","INCORRECT","","1.0","INCORRECT","","1.0","INCORRECT","","0.5","INCORRECT","","1.0","INCORRECT","","1.0","INCORRECT","","0.5","INCORRECT","","1.0","INCORRECT","","1.0","INCORRECT","","0.5","INCORRECT"
"sample_20","def f(text):
    result = ''
    for i in range(len(text)-1, -1, -1):
        result += text[i]
    return result","'was,'","',saw'","swa,","1.0","INCORRECT",",saw","1.0","CORRECT","","0.5","INCORRECT","swa,","1.0","INCORRECT",",saw","1.0","CORRECT","","0.5","INCORRECT","swa,","1.0","INCORRECT",",saw","1.0","CORRECT","","0.5","INCORRECT","swa,","1.0","INCORRECT",",saw","1.0","CORRECT","","0.5","INCORRECT","swa,","1.0","INCORRECT",",saw","1.0","CORRECT","","0.5","INCORRECT"
"sample_21","def f(array):
    n = array.pop()
    array.extend([n, n])
    return array","[1, 1, 2, 2]","[1, 1, 2, 2, 2]","[1, 1, 2, 2, 2, 2]","1.0","INCORRECT","[1, 1, 2, 2, 2, 2]","1.0","INCORRECT","","0.5","INCORRECT","[1, 1, 2, 2, 2, 2]","1.0","INCORRECT","[1, 1, 2, 2, 2, 2]","1.0","INCORRECT","","0.5","INCORRECT","[1, 1, 2, 2, 2, 2]","1.0","INCORRECT","[1, 1, 2, 2, 2, 2]","1.0","INCORRECT","","0.5","INCORRECT","[1, 1, 2, 2, 2, 2]","1.0","INCORRECT","[1, 1, 2, 2, 2, 2]","1.0","INCORRECT","","0.5","INCORRECT","[1, 1, 2, 2, 2, 2]","1.0","INCORRECT","[1, 1, 2, 2, 2, 2]","1.0","INCORRECT","","0.5","INCORRECT"
"sample_22","def f(a):
    if a == 0:
        return [0]
    result = []
    while a > 0:
        result.append(a%10)
        a = a//10
    result.reverse()
    return int(''.join(str(i) for i in result))","000","[0]","0","1.0","INCORRECT","","1.0","INCORRECT","","0.5","INCORRECT","0","1.0","INCORRECT","0","1.0","INCORRECT","","0.5","INCORRECT","0","1.0","INCORRECT","0","1.0","INCORRECT","","0.5","INCORRECT","0","1.0","INCORRECT","0","1.0","INCORRECT","","0.5","INCORRECT","0","1.0","INCORRECT","0","1.0","INCORRECT","","0.5","INCORRECT"
"sample_23","def f(text, chars):
    if chars:
        text = text.rstrip(chars)
    else:
        text = text.rstrip(' ')
    if text == '':
        return '-'
    return text","'new-medium-performing-application - XQuery 2.2', '0123456789-'","'new-medium-performing-application - XQuery 2.'","'new-medium-performing-application - XQuery 2.2'","1.0","INCORRECT","new-medium-performing-application XQuery 2.2","1.0","INCORRECT","","0.5","INCORRECT","'new-medium-performing-application - XQuery 2.2'","1.0","INCORRECT","new-medium-performing-application XQuery 2.2","1.0","INCORRECT","","0.5","INCORRECT","'new-medium-performing-application - XQuery 2.2'","1.0","INCORRECT","new-medium-performing-application XQuery 2.2","1.0","INCORRECT","","0.5","INCORRECT","'new-medium-performing-application - XQuery 2.2'","1.0","INCORRECT","new-medium-performing-application XQuery 2.2","1.0","INCORRECT","","0.5","INCORRECT","'new-medium-performing-application - XQuery 2.2'","1.0","INCORRECT","new-medium-performing-application - XQuery 2.2","0.9","INCORRECT","","0.5","INCORRECT"
"sample_24","def f(nums, i):
    nums.pop(i)
    return nums","[35, 45, 3, 61, 39, 27, 47], 0","[45, 3, 61, 39, 27, 47]","[45, 3, 61, 39, 27, 47]","1.0","CORRECT","[45, 3, 61, 39, 27, 47]","1.0","CORRECT","","0.5","INCORRECT","[45, 3, 61, 39, 27, 47]","1.0","CORRECT","[45, 3, 61, 39, 27, 47]","1.0","CORRECT","","0.5","INCORRECT","[45, 3, 61, 39, 27, 47]","1.0","CORRECT","[45, 3, 61, 39, 27, 47]","1.0","CORRECT","","0.5","INCORRECT","[45, 3, 61, 39, 27, 47]","1.0","CORRECT","[45, 3, 61, 39, 27, 47]","1.0","CORRECT","","0.5","INCORRECT","[45, 3, 61, 39, 27, 47]","1.0","CORRECT","[45, 3, 61, 39, 27, 47]","1.0","CORRECT","","0.5","INCORRECT"
"sample_25","def f(d):
    d = d.copy()
    d.popitem()
    return d","{""l"": 1, ""t"": 2, ""x:"": 3}","{'l': 1, 't': 2}","{""l"": 1, ""t"": 2}","1.0","CORRECT","{""l"": 1}","1.0","INCORRECT","","0.5","INCORRECT","{""l"": 1, ""t"": 2}","1.0","CORRECT","{}","1.0","INCORRECT","","0.5","INCORRECT","{""l"": 1, ""t"": 2}","1.0","CORRECT","{}","1.0","INCORRECT","","0.5","INCORRECT","{""l"": 1, ""t"": 2}","1.0","CORRECT","{}","1.0","INCORRECT","","0.5","INCORRECT","{""l"": 1, ""t"": 2}","1.0","CORRECT","{}","1.0","INCORRECT","","0.5","INCORRECT"
"sample_26","def f(items, target):
    for i in items.split():
        if i in target:
            return items.index(i)+1
        if i.index('.') == len(i)-1 or i.index('.') == 0:
            return 'error'
    return '.'","""qy. dg. rnvprt rse.. irtwv tx.."", ""wtwdoacb""","'error'","error","1.0","CORRECT","error","1.0","CORRECT","","0.5","INCORRECT","error","1.0","CORRECT","error","1.0","CORRECT","","0.5","INCORRECT","error","1.0","CORRECT","error","1.0","CORRECT","","0.5","INCORRECT","error","1.0","CORRECT","error","1.0","CORRECT","","0.5","INCORRECT","error","1.0","CORRECT","error","1.0","CORRECT","","0.5","INCORRECT"
"sample_27","def f(w):
    ls = list(w)
    omw = ''
    while len(ls) > 0:
        omw += ls.pop(0)
        if len(ls) * 2 > len(w):
            return w[len(ls):] == omw
    return False","'flak'","False","True","1.0","INCORRECT","True","1.0","INCORRECT","","0.5","INCORRECT","True","1.0","INCORRECT","True","1.0","INCORRECT","","0.5","INCORRECT","True","1.0","INCORRECT","True","1.0","INCORRECT","","0.5","INCORRECT","True","1.0","INCORRECT","True","1.0","INCORRECT","","0.5","INCORRECT","True","1.0","INCORRECT","True","1.0","INCORRECT","","0.5","INCORRECT"
"sample_28","def f(mylist):
    revl = mylist[:]
    revl.reverse()
    mylist.sort(reverse=True)
    return mylist == revl","[5, 8]","True","True","1.0","CORRECT","True","1.0","CORRECT","","0.5","INCORRECT","True","1.0","CORRECT","True","1.0","CORRECT","","0.5","INCORRECT","True","1.0","CORRECT","True","1.0","CORRECT","","0.5","INCORRECT","True","1.0","CORRECT","True","1.0","CORRECT","","0.5","INCORRECT","True","1.0","CORRECT","True","1.0","CORRECT","","0.5","INCORRECT"
"sample_29","def f(text):
    nums = list(filter(str.isnumeric, text))
    assert len(nums) > 0
    return ''.join(nums)","'-123   \t+314'","'123314'","123314","1.0","CORRECT","123314","1.0","CORRECT","","0.5","INCORRECT","123314","1.0","CORRECT","123314","1.0","CORRECT","","0.5","INCORRECT","123314","1.0","CORRECT","123314","1.0","CORRECT","","0.5","INCORRECT","123314","1.0","CORRECT","123314","1.0","CORRECT","","0.5","INCORRECT","123314","1.0","CORRECT","123314","1.0","CORRECT","","0.5","INCORRECT"
"sample_30","def f(array):
    result = []
    for elem in array:
        if elem.isascii() or (isinstance(elem, int) and not str(abs(elem)).isascii()):
            result.append(elem)
    return result","[""a"", ""b"", ""c""]","['a', 'b', 'c']","['a', 'b', 'c']","1.0","CORRECT","['a', 'b', 'c']","1.0","CORRECT","","0.5","INCORRECT","['a', 'b', 'c']","1.0","CORRECT","['a', 'b', 'c']","1.0","CORRECT","","0.5","INCORRECT","['a', 'b', 'c']","1.0","CORRECT","['a', 'b', 'c']","1.0","CORRECT","","0.5","INCORRECT","['a', 'b', 'c']","1.0","CORRECT","['a', 'b', 'c']","1.0","CORRECT","","0.5","INCORRECT","['a', 'b', 'c']","1.0","CORRECT","['a', 'b', 'c']","1.0","CORRECT","","0.5","INCORRECT"
"sample_31","def f(string):
    upper = 0
    for c in string:
        if c.isupper():
            upper += 1
    return upper * (2,1)[upper % 2]","'PoIOarTvpoead'","8","4","1.0","INCORRECT","8","1.0","CORRECT","","0.5","INCORRECT","4","1.0","INCORRECT","8","1.0","CORRECT","","0.5","INCORRECT","4","1.0","INCORRECT","8","1.0","CORRECT","","0.5","INCORRECT","4","1.0","INCORRECT","8","1.0","CORRECT","","0.5","INCORRECT","4","1.0","INCORRECT","8","1.0","CORRECT","","0.5","INCORRECT"
"sample_32","def f(s, sep):
    reverse = ['*' + e for e in s.split(sep)]
    return ';'.join(reversed(reverse))","'volume', 'l'","'*ume;*vo'","*;v;o;l;u;m;e","1.0","INCORRECT","*l;*olume","1.0","CORRECT","","0.5","INCORRECT","*;v;o;l;u;m;e","1.0","INCORRECT","*l;*olume","1.0","CORRECT","","0.5","INCORRECT","*;v;o;l;u;m;e","1.0","INCORRECT","*l;*olume","1.0","CORRECT","","0.5","INCORRECT","*;v;o;l;u;m;e","1.0","INCORRECT","*l;*olume","1.0","CORRECT","","0.5","INCORRECT","*;v;o;l;u;m;e","1.0","INCORRECT","*l;*olume","1.0","CORRECT","","0.5","INCORRECT"
"sample_33","def f(lists):
    dic = {}
    for n in lists:
        if n in dic:
            dic[n].append(lists.pop(lists.index(n)))
        else:
            dic[n] = lists[:lists.index(n) + 1]
    return str(dic).replace(' ', '')","[5, 2, 7, 2, 3, 5]","'{5:[5,5],2:[5,2,2],7:[5,2,7]}'","{5:[5],2:[2,2],7:[7],3:[3,5]}","1.0","INCORRECT","{'5':[5,2,7,2,3,5],'2':[2,7,2,3,5],'7':[7,2,3,5],'3':[3,5],'5':[]}","1.0","INCORRECT","","0.5","INCORRECT","{5:[5],2:[2,2],7:[7],3:[3,5]}","1.0","INCORRECT","{'5':[5,2,7,2,3,5],'2':[2,7,2,3,5],'7':[7,2,3,5],'3':[3,5],'5':[]}","1.0","INCORRECT","","0.5","INCORRECT","{5:[5],2:[2,2],7:[7],3:[3,5]}","1.0","INCORRECT","{'5':[5,2,7,2,3,5],'2':[2,7,2,3,5],'7':[7,2,3,5],'3':[3,5],'5':[]}","1.0","INCORRECT","","0.5","INCORRECT","{5:[5],2:[2,2],7:[7],3:[3,5]}","1.0","INCORRECT","{'5':[5,2,7,2,3,5],'2':[2,7,2,3,5],'7':[7,2,3,5],'3':[3,5],'5':[]}","1.0","INCORRECT","","0.5","INCORRECT","{5:[5],2:[2,2],7:[7],3:[3,5]}","1.0","INCORRECT","{'5':[5,2,7,2,3,5],'2':[2,7,2,3,5],'7':[7,2,3,5],'3':[3,5],'5':[]}","1.0","INCORRECT","","0.5","INCORRECT"
"sample_34","def f(nums, odd1, odd2):
    while odd1 in nums:
        nums.remove(odd1)
    while odd2 in nums:
        nums.remove(odd2)
    return nums","[1, 2, 3, 7, 7, 6, 8, 4, 1, 2, 3, 5, 1, 3, 21, 1, 3], 3, 1","[2, 7, 7, 6, 8, 4, 2, 5, 21]","[2, 7, 7, 6, 8, 4, 2, 5, 21]","1.0","CORRECT","[2, 7, 7, 6, 8, 4, 2, 5, 21]","1.0","CORRECT","","0.5","INCORRECT","[2, 7, 7, 6, 8, 4, 2, 5, 21]","1.0","CORRECT","[2, 7, 7, 6, 8, 4, 2, 5, 21]","1.0","CORRECT","","0.5","INCORRECT","[2, 7, 7, 6, 8, 4, 2, 5, 21]","1.0","CORRECT","[2, 7, 7, 6, 8, 4, 2, 5, 21]","1.0","CORRECT","","0.5","INCORRECT","[2, 7, 7, 6, 8, 4, 2, 5, 21]","1.0","CORRECT","[2, 7, 7, 6, 8, 4, 2, 5, 21]","1.0","CORRECT","","0.5","INCORRECT","[2, 7, 7, 6, 8, 4, 2, 5, 21]","1.0","CORRECT","[2, 7, 7, 6, 8, 4, 2, 5, 21]","1.0","CORRECT","","0.5","INCORRECT"
"sample_35","def f(pattern, items):
    result = []
    for text in items:
        pos = text.rfind(pattern)
        if pos >= 0:
            result.append(pos)

    return result",""" B "", ["" bBb "", "" BaB "", "" bB"", "" bBbB "", "" bbb""]","[]","[2, 1, 2, 2, -1]","1.0","INCORRECT","[1, 2, 1, 3, -1]","1.0","INCORRECT","","0.5","INCORRECT","[2, 1, 2, 2, -1]","1.0","INCORRECT","[1, 2, -1, 3, -1]","1.0","INCORRECT","","0.5","INCORRECT","[2, 1, 2, 2, -1]","1.0","INCORRECT","[1, 2, -1, 3, -1]","1.0","INCORRECT","","0.5","INCORRECT","[2, 1, 2, 2, -1]","1.0","INCORRECT","[1, 2, -1, 3, -1]","1.0","INCORRECT","","0.5","INCORRECT","[2, 1, 2, 2, -1]","1.0","INCORRECT","[1, 2, -1, 3, -1]","1.0","INCORRECT","","0.5","INCORRECT"
"sample_36","def f(text, chars):
    return text.rstrip(chars) if text else text","'ha', ''","'ha'","'ha'","1.0","CORRECT","'ha'","1.0","CORRECT","","0.5","INCORRECT","'ha'","1.0","CORRECT","'ha'","1.0","CORRECT","","0.5","INCORRECT","'ha'","1.0","CORRECT","'ha'","1.0","CORRECT","","0.5","INCORRECT","'ha'","1.0","CORRECT","'ha'","1.0","CORRECT","","0.5","INCORRECT","'ha'","1.0","CORRECT","'ha'","1.0","CORRECT","","0.5","INCORRECT"
